Entidad,Domicilio,C.P,Localidad,Horario,Web,Email,Tfno,Fax
GIMNASIA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 18 a 21 h.,www.aragongym.com,federacion@aragongym.com,976 523612,
GOLF,"Avd. Cesar Augusto, 3 3ºa",50004.0,ZARAGOZA,Lu a Vi de 10 a 13 h. / Ju de 16 h. a 18 h.,http://aragongolf.com/,admin@aragongolf.com,976 731 374,976 730 608
HALTEROFILIA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ma de 18 a 20 h.,http://www.halteraragon.com/,feder.aragonesa.halterofilia@gmail.com,609068728.0,
HÍPICA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Ju de 19 a 21 h.,www.fharagonesa.org,info@fharagonesa.org,976 730 904,976 737 235
HOCKEY,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ma y Ju de 18  a 20 h.,http://www.hockeyaragon.es/,secretario@hockeyaragon.es,976 731 353,
JUDO Y DEPORTES ASOCIADOS,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 10 a 13:00 h.,www.fajyda.es,secretaria@fajyda.es,976 730 809,976 521 905
KARATE Y DISCIPLINAS ASOC.,C/ Aaiún Casa 9 (Edificio Don 2000),50002.0,ZARAGOZA,Lu a Vi de 9:30  a 13:30 h.,www.federacionaragonesadekarate.es/,info@federacionaragonesadekarate.es,976 731 417,976 731 417
LUCHA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ju de 20 a 21 h.,http://federacionaragonesadelucha.blogspot.com.es/,federacionaragonesadeluchas@gmail.com,976 731 486,
MONTAÑISMO,"Albareda, 7. 4º. 4ª",50004.0,ZARAGOZA,De Lu a Vi de 11 a 13 h. / Lu a Ju de 16:30 a 19:30 h.,www.fam.es,fam@fam.es,976 227 971,976 212 459
MOTOCICLISMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 9:00 a 13:30 h.,www.faram.es,faram@faram.es,976 730 970 / 636 326 907,976 741 483
NATACIÓN,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 9:30 a 12 h / Lu a Ju de 17 a 19 h,www.fanaragon.com,info@fanaragon.com,976 730 750,
ORIENTACIÓN,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Mi de 19:00 a 21:00 h,http://www.orientaragon.com,secretaria@orientaragon.com,contacto email,contacto email
PADEL,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 9  a 13h,http://www.arapadel.com,administracion@arapadel.com,976 528 628,
PATINAJE,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ma y Ju de 19 a 21 h.,www.fearpa.com,fearpa@fearpa.com,976 525 736,
PELOTA,"Av.  José Atarés,101 semisótano",50014.0,ZARAGOZA,Ma y Vi de 10 a 13 h,www.faragpelota.com,secretaria@faragpelota.com,615 595 706,
PESCA Y CASTING,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Ju de 10 a 14 h  y de17 a 20 h. Vi de 10 a 14 h,www.fapyc.es,fapyc@fapyc.es,976 730 827,
PETANCA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ma y Ju de 19 a 21 h.,http://www.petancaaragon.com/,fapetanca@petancaaragon.com,976 731469,
PIRAGÜISMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu y Mi de 18 a 21 h.,http://www.fapiraguismo.es,correo@fapiraguismo.es,976 799 741,
REMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Mi de 16:30 a 20 h.,http://farremo.es,farremo@farremo.es,976 525 663,
RUGBY,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu y Ju de 19 a 21 h,http://rugbyaragon.com/,secretario@rugbyaragon.com,634 266 311,
SALVAMENTO Y SOCORRISMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,"Lu, Mi y Vi de 10:30 a 13:15 / Lu, Mi y Vi de 17 a 20:30 h.",www.sosaragon.com,fass@sosaragon.com,976  733 460,
TAEKWONDO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Ju de 10 a 13 h. / Lu de 17 a 20 h.,http://taekwondoaragon.blogspot.com/,fedtaekwondoaragon@gmail.com,976 731 406,
TENIS,"Andador José Castán, 4",50009.0,ZARAGOZA,Lu a Vi de 10 a 13 h. y de 17 a20 h.,www.aragontenis.com,federacion@aragontenis.com,976 750 462,976 75 06 39
TENIS DE MESA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ma y Ju de 18 a 21 h.,www.aragontenisdemesa.com,secretaria@aragontenisdemesa.com,976 510 572,
TIRO CON ARCO,"Pº Teruel, 36. bajos",50004.0,ZARAGOZA,Lu y Mi de 19 a 21h.,www.arcoaragon.com,info@arcoaragon.com,976 226 032,976 226 032
TIRO OLÍMPICO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,M y J de 18 a 21 h.,www.tirofato.com,correo@tirofato.com,976 731 309,976 737 202
TRIATLÓN,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,"Ma,Mi,Ju y Vi de 9:30 a 13 h / Lu de 16 a 20 h.",www.triatlonaragon.org,secretario@triatlonaragon.org,976 516 083,976 516 083
VELA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Mi  de 19 a 20:30 h,www.velaaragon.es,federacion@velaaragon.es,668856033.0,
VOLEIBOL,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 10 a 13 h.,www.favb.es,secretaria@favb.es,976730841.0,
